location,iso_code,vaccines,last_observation_date,source_name,source_website
Afghanistan,AFG,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2023-01-22,World Health Organization,https://covid19.who.int/
Albania,ALB,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2023-01-08,World Health Organization,https://covid19.who.int/
Algeria,DZA,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2022-09-04,World Health Organization,https://covid19.who.int/
Andorra,AND,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-12-18,World Health Organization,https://covid19.who.int/
Angola,AGO,Oxford/AstraZeneca,2023-01-01,World Health Organization,https://covid19.who.int/
Anguilla,AIA,"Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-06,World Health Organization,https://covid19.who.int/
Antigua and Barbuda,ATG,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2022-09-16,Ministry of Health,https://covid19.who.int/
Argentina,ARG,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2023-01-28,Ministry of Health,https://covidstats.com.ar/
Armenia,ARM,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, Sputnik Light, Sputnik V",2022-05-22,World Health Organization,https://covid19.who.int/
Aruba,ABW,Pfizer/BioNTech,2023-01-27,Government of Aruba,https://www.government.aw
Australia,AUS,"Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-26,Government of Australia via CovidBaseAU,https://covidbaseau.com/
Austria,AUT,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2022-12-13,European CDC,https://info.gesundheitsministerium.gv.at/data/COVID19_vaccination_doses_timeline_v202206.csv
Azerbaijan,AZE,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2022-08-28,Government of Azerbaijan,https://koronavirusinfo.az
Bahamas,BHS,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",2022-11-16,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bahrain,BHR,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2022-12-21,Ministry of Health,https://covid19.who.int/
Bangladesh,BGD,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2023-01-26,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
Barbados,BRB,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2023-01-06,Ministry of Health,https://covid19.who.int/
Belarus,BLR,"KoviVac/Chumakov, Sinopharm/Beijing, Sputnik Light, Sputnik V",2023-01-08,World Health Organization,https://covid19.who.int/
Belgium,BEL,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-23,Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2023-01-13,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Benin,BEN,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2022-12-18,Ministry of Health,https://covid19.who.int/
Bermuda,BMU,"Oxford/AstraZeneca, Pfizer/BioNTech",2022-07-08,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bhutan,BTN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-10-30,World Health Organization,https://covid19.who.int/
Bolivia,BOL,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2022-10-07,Ministry of Health via https://www.boligrafica.com/,https://github.com/dquintani/vacunacion/
Bonaire Sint Eustatius and Saba,BES,"Moderna, Pfizer/BioNTech",2021-09-01,World Health Organization,https://www.rivm.nl/sites/default/files/2021-09/COVID-19_website_rapport_eilanden_engels_35_20210902_1409.pdf
Bosnia and Herzegovina,BIH,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2022-01-29,World Health Organization,https://covid19.who.int/
Botswana,BWA,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2023-01-01,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Brazil,BRA,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2023-01-29,State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io
British Virgin Islands,VGB,"Johnson&Johnson, Oxford/AstraZeneca",2022-09-16,World Health Organization,https://covid19.who.int/
Brunei,BRN,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-11-25,World Health Organization,https://covid19.who.int/
Bulgaria,BGR,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-29,Ministry of Health,https://coronavirus.bg/bg/statistika
Burkina Faso,BFA,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2022-11-27,World Health Organization,https://covid19.who.int/
Burundi,BDI,"Johnson&Johnson, Sinopharm/Beijing",2023-01-15,World Health Organization,https://covid19.who.int/
Cambodia,KHM,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2023-01-13,World Health Organization,https://covid19.who.int/
Cameroon,CMR,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2023-01-15,World Health Organization,https://covid19.who.int/
Canada,CAN,"Johnson&Johnson, Medicago, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-26,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cape Verde,CPV,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-09-25,World Health Organization,https://covid19.who.int/
Cayman Islands,CYM,"Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-20,World Health Organization,https://covid19.who.int/
Central African Republic,CAF,"Covaxin, Oxford/AstraZeneca",2023-01-15,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Chad,TCD,Sinopharm/Beijing,2023-01-15,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Chile,CHL,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2023-01-24,"Ministry of Health, via Ministry of Science GitHub repository",https://github.com/MinCiencia/Datos-COVID19
China,CHN,"CanSino, IMBCAMS, KCONVAC, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",2023-01-19,National Health Commission,https://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_13141/202301/t20230121_263515.html
Colombia,COL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2023-01-20,World Health Organization,https://covid19.who.int/
Comoros,COM,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",2022-10-02,World Health Organization,https://covid19.who.int/
Congo,COG,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2022-07-31,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Cook Islands,COK,Pfizer/BioNTech,2022-12-05,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Costa Rica,CRI,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-20,Costa Rican Social Security Fund,https://covid19.who.int/
Cote d'Ivoire,CIV,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2023-01-15,World Health Organization,https://covid19.who.int/
Croatia,HRV,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-28,Ministry of Health,https://www.koronavirus.hr
Cuba,CUB,"Abdala, Soberana Plus, Soberana02",2023-01-27,Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/
Curacao,CUW,"Moderna, Pfizer/BioNTech",2022-11-16,Government of Curacao,https://bakuna.cw/
Cyprus,CYP,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2022-12-21,Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
Czechia,CZE,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2023-01-28,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Democratic Republic of Congo,COD,Oxford/AstraZeneca,2022-12-11,World Health Organization,https://covid19.who.int/
Denmark,DNK,"Johnson&Johnson, Moderna, Pfizer/BioNTech",2023-01-26,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Djibouti,DJI,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2022-12-07,World Health Organization,https://covid19.who.int/
Dominica,DMA,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2022-10-07,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Dominican Republic,DOM,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2023-01-24,Ministry of Public Health,https://vacunate.gob.do
Ecuador,ECU,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2023-01-20,Government of Ecuador via Ecuacovid,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Egypt,EGY,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2023-01-22,World Health Organization,https://covid19.who.int/
El Salvador,SLV,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2022-10-02,Ministry of Health,https://covid19.gob.sv/
England,OWID_ENG,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-22,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Equatorial Guinea,GNQ,"Sinopharm/Beijing, Sinovac",2022-07-24,World Health Organization,https://covid19.who.int/
Estonia,EST,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-23,National Health Board,https://opendata.digilugu.ee
Eswatini,SWZ,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-15,World Health Organization,https://covid19.who.int/
Ethiopia,ETH,"Covaxin, Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",2022-07-31,World Health Organization,https://covid19.who.int/
Faeroe Islands,FRO,"Moderna, Pfizer/BioNTech",2022-02-18,Government of the Faeroe Islands,https://corona.fo/api
Falkland Islands,FLK,Oxford/AstraZeneca,2021-04-14,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
Fiji,FJI,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-23,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Finland,FIN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-29,Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov
France,FRA,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sanofi/GSK",2023-01-26,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
French Polynesia,PYF,"Johnson&Johnson, Pfizer/BioNTech",2022-11-21,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Gabon,GAB,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2022-11-27,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Gambia,GMB,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2022-11-06,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Georgia,GEO,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2022-10-13,National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Germany,DEU,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Valneva",2023-01-27,Robert Koch Institut,https://impfdashboard.de/
Ghana,GHA,"Oxford/AstraZeneca, Sputnik V",2023-01-15,World Health Organization,https://covid19.who.int/
Gibraltar,GIB,"Oxford/AstraZeneca, Pfizer/BioNTech",2022-12-16,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1517138573614477315
Greece,GRC,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-28,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,Moderna,2022-03-14,Government of Greenland,https://corona.nun.gl/en/
Grenada,GRD,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-11-11,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Guatemala,GTM,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",2023-01-20,Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Guernsey,GGY,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-12-19,Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Guinea,GIN,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",2022-12-04,National Health Security Agency,https://covid19.who.int/
Guinea-Bissau,GNB,"Oxford/AstraZeneca, Sinopharm/Beijing",2022-09-18,World Health Organization,https://covid19.who.int/
Guyana,GUY,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2023-01-20,Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Haiti,HTI,"Johnson&Johnson, Moderna",2023-01-20,World Health Organization,https://covid19.who.int/
Honduras,HND,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",2023-01-20,World Health Organization,https://covid19.who.int/
Hong Kong,HKG,"Pfizer/BioNTech, Sinovac",2023-01-15,Food and Health Bureau,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age
Hungary,HUN,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2022-12-27,Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-421-ezer-beoltott-4-397-az-uj-fertozott-es-elhunyt-56-beteg
Iceland,ISL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-03-29,Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,"Corbevax, Covaxin, Novavax, Oxford/AstraZeneca, Sputnik V",2023-01-29,Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2023-01-17,Government of Indonesia,https://covid19.who.int/
Iran,IRN,"COVIran Barekat, CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V",2023-01-16,World Health Organization,https://covid19.who.int/
Iraq,IRQ,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2023-01-02,World Health Organization,https://covid19.who.int/
Ireland,IRL,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-26,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2022-06-23,Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,"Moderna, Pfizer/BioNTech",2023-01-27,Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-29,Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Jamaica,JAM,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-24,Ministry of Health,https://vaccination.moh.gov.jm
Japan,JPN,"Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-26,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Jersey,JEY,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-22,Government of Jersey,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
Jordan,JOR,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2022-08-21,World Health Organization,https://covid19.who.int/
Kazakhstan,KAZ,"QazVac, Sinopharm/Beijing, Sputnik V",2023-01-17,Government of Kazakhstan,https://www.coronavirus2020.kz/
Kenya,KEN,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2023-01-08,World Health Organization,https://covid19.who.int/
Kiribati,KIR,Oxford/AstraZeneca,2022-11-28,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Kosovo,OWID_KOS,"Oxford/AstraZeneca, Pfizer/BioNTech",2023-01-27,Ministry of Health,https://msh.rks-gov.net/sq/statistikat-covid-19/
Kuwait,KWT,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2023-01-22,World Health Organization,https://covid19.who.int/
Kyrgyzstan,KGZ,"Sinopharm/Beijing, Sputnik V",2023-01-29,Ministry of Health,https://vc.emed.gov.kg/
Laos,LAO,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2022-08-11,World Health Organization,https://www.covid19.gov.la/index.php
Latvia,LVA,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2022-07-11,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",2022-12-22,World Health Organization,https://covid19.who.int/
Lesotho,LSO,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2022-12-11,World Health Organization,https://covid19.who.int/
Liberia,LBR,Oxford/AstraZeneca,2022-12-11,World Health Organization,https://covid19.who.int/
